goos: linux
goarch: arm64
pkg: github.com/anyproto/any-store/internal/btree
BenchmarkGet-8                 	  792001	      1634 ns/op	     112 B/op	       1 allocs/op
BenchmarkGet-8                 	  808435	      1493 ns/op	     112 B/op	       1 allocs/op
BenchmarkGet-8                 	  813021	      1483 ns/op	     112 B/op	       1 allocs/op
BenchmarkGet-8                 	  730351	      1526 ns/op	     112 B/op	       1 allocs/op
BenchmarkGet-8                 	  719884	      1471 ns/op	     112 B/op	       1 allocs/op
BenchmarkGetBatch-8            	    7941	    131218 ns/op	   11212 B/op	     100 allocs/op
BenchmarkGetBatch-8            	    9376	    127708 ns/op	   11211 B/op	     100 allocs/op
BenchmarkGetBatch-8            	    8634	    134666 ns/op	   11210 B/op	     100 allocs/op
BenchmarkGetBatch-8            	    9408	    143632 ns/op	   11210 B/op	     100 allocs/op
BenchmarkGetBatch-8            	    8628	    136934 ns/op	   11211 B/op	     100 allocs/op
BenchmarkCursorScan/keys=100-8 	  207794	      5934 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=100-8 	  176128	      6027 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=100-8 	  196291	      6019 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=100-8 	  178381	      5790 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=100-8 	  197971	      5752 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=1000-8         	   23002	     54409 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=1000-8         	   20113	     53462 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=1000-8         	   22687	     53038 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=1000-8         	   19653	     54013 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=1000-8         	   19164	     55114 ns/op	      96 B/op	       3 allocs/op
BenchmarkCursorScan/keys=10000-8        	    2184	    553034 ns/op	     196 B/op	       4 allocs/op
BenchmarkCursorScan/keys=10000-8        	    2180	    674065 ns/op	     195 B/op	       4 allocs/op
BenchmarkCursorScan/keys=10000-8        	    1831	    562509 ns/op	     195 B/op	       4 allocs/op
BenchmarkCursorScan/keys=10000-8        	    2174	    540546 ns/op	     195 B/op	       4 allocs/op
BenchmarkCursorScan/keys=10000-8        	    2224	    551614 ns/op	     194 B/op	       4 allocs/op
BenchmarkPut-8                          	   10000	   2028599 ns/op	    2817 B/op	       2 allocs/op
BenchmarkPut-8                          	   10000	   1690904 ns/op	    2817 B/op	       2 allocs/op
BenchmarkPut-8                          	   10000	   3300131 ns/op	    2817 B/op	       2 allocs/op
BenchmarkPut-8                          	   10000	   3169035 ns/op	    2817 B/op	       2 allocs/op
BenchmarkPut-8                          	   10000	   2254759 ns/op	    2817 B/op	       2 allocs/op
BenchmarkConcurrentReaders-8            	 1000000	      1023 ns/op	     112 B/op	       1 allocs/op
BenchmarkConcurrentReaders-8            	 1000000	      1170 ns/op	     112 B/op	       1 allocs/op
BenchmarkConcurrentReaders-8            	 1156909	      1055 ns/op	     112 B/op	       1 allocs/op
BenchmarkConcurrentReaders-8            	 1000000	      1119 ns/op	     112 B/op	       1 allocs/op
BenchmarkConcurrentReaders-8            	 1000000	      1055 ns/op	     112 B/op	       1 allocs/op
BenchmarkWriterWithReaders-8            	   39070	     28132 ns/op	    1239 B/op	      11 allocs/op
BenchmarkWriterWithReaders-8            	   58599	     21444 ns/op	     606 B/op	       5 allocs/op
BenchmarkWriterWithReaders-8            	   57570	     54651 ns/op	    4042 B/op	      36 allocs/op
BenchmarkWriterWithReaders-8            	   42950	     30756 ns/op	    1046 B/op	       9 allocs/op
BenchmarkWriterWithReaders-8            	   41386	     24947 ns/op	     894 B/op	       8 allocs/op
BenchmarkReadTxPageAllocs-8             	    2290	    453546 ns/op	   17986 B/op	    1244 allocs/op
BenchmarkReadTxPageAllocs-8             	    2596	    442625 ns/op	   17982 B/op	    1244 allocs/op
BenchmarkReadTxPageAllocs-8             	    2548	    442598 ns/op	   17977 B/op	    1244 allocs/op
BenchmarkReadTxPageAllocs-8             	    2510	    433548 ns/op	   17981 B/op	    1244 allocs/op
BenchmarkReadTxPageAllocs-8             	    2308	    435874 ns/op	   17976 B/op	    1244 allocs/op
PASS
ok  	github.com/anyproto/any-store/internal/btree	202.400s
